'Time';'ECG1';'ECG2'
'[09:01:29.884]';-0.035;-0.155
'[09:01:29.888]';-0.03;-0.16
'[09:01:29.892]';-0.02;-0.155
'[09:01:29.896]';-0.03;-0.16
'[09:01:29.900]';-0.025;-0.165
'[09:01:29.904]';-0.045;-0.155
'[09:01:29.908]';-0.035;-0.165
'[09:01:29.912]';-0.025;-0.16
'[09:01:29.916]';-0.015;-0.16
'[09:01:29.920]';-0.005;-0.165
'[09:01:29.924]';-0.01;-0.15
'[09:01:29.928]';-0.03;-0.17
'[09:01:29.932]';-0.04;-0.165
'[09:01:29.936]';-0.025;-0.145
'[09:01:29.940]';-0.015;-0.145
'[09:01:29.944]';0.01;-0.13
'[09:01:29.948]';0.005;-0.135
'[09:01:29.952]';-0.015;-0.125
'[09:01:29.956]';-0.04;-0.125
'[09:01:29.960]';-0.06;-0.14
'[09:01:29.964]';-0.07;-0.14
'[09:01:29.968]';-0.045;-0.13
'[09:01:29.972]';-0.03;-0.12
'[09:01:29.976]';-0.04;-0.11
'[09:01:29.980]';-0.03;-0.125
'[09:01:29.984]';-0.04;-0.11
'[09:01:29.988]';-0.045;-0.105
'[09:01:29.992]';-0.07;-0.11
'[09:01:29.996]';-0.095;-0.12
'[09:01:30.000]';-0.1;-0.125
'[09:01:30.004]';-0.07;-0.11
'[09:01:30.008]';-0.08;-0.13
'[09:01:30.012]';-0.07;-0.12
'[09:01:30.016]';-0.095;-0.12
'[09:01:30.020]';-0.1;-0.12
'[09:01:30.024]';-0.08;-0.125
'[09:01:30.028]';-0.08;-0.12
'[09:01:30.032]';-0.105;-0.14
'[09:01:30.036]';-0.075;-0.15
'[09:01:30.040]';-0.06;-0.145
'[09:01:30.044]';-0.06;-0.15
'[09:01:30.048]';-0.08;-0.16
'[09:01:30.052]';-0.07;-0.16
'[09:01:30.056]';-0.07;-0.165
'[09:01:30.060]';-0.075;-0.17
'[09:01:30.064]';-0.055;-0.16
'[09:01:30.068]';-0.055;-0.16
'[09:01:30.072]';-0.07;-0.155
'[09:01:30.076]';-0.05;-0.15
'[09:01:30.080]';-0.04;-0.155
'[09:01:30.084]';-0.035;-0.15
'[09:01:30.088]';-0.04;-0.16
'[09:01:30.092]';-0.045;-0.16
'[09:01:30.096]';-0.04;-0.15
'[09:01:30.100]';-0.045;-0.14
'[09:01:30.104]';-0.055;-0.15
'[09:01:30.108]';-0.065;-0.15
'[09:01:30.112]';-0.05;-0.145
'[09:01:30.116]';-0.04;-0.155
'[09:01:30.120]';-0.045;-0.15
'[09:01:30.124]';-0.07;-0.135
'[09:01:30.128]';-0.06;-0.135
'[09:01:30.132]';-0.095;-0.13
'[09:01:30.136]';-0.075;-0.12
'[09:01:30.140]';-0.07;-0.115
'[09:01:30.144]';-0.035;-0.085
'[09:01:30.148]';-0.055;-0.09
'[09:01:30.152]';-0.075;-0.11
'[09:01:30.156]';-0.075;-0.14
'[09:01:30.160]';-0.085;-0.16
'[09:01:30.164]';-0.1;-0.155
'[09:01:30.168]';-0.12;-0.15
'[09:01:30.172]';-0.1;-0.135
'[09:01:30.176]';-0.11;-0.12
'[09:01:30.180]';-0.11;-0.15
'[09:01:30.184]';-0.095;-0.175
'[09:01:30.188]';-0.09;-0.185
'[09:01:30.192]';-0.09;-0.175
'[09:01:30.196]';-0.08;-0.17
'[09:01:30.200]';-0.075;-0.165
'[09:01:30.204]';-0.065;-0.16
'[09:01:30.208]';-0.055;-0.16
'[09:01:30.212]';-0.05;-0.155
'[09:01:30.216]';-0.065;-0.16
'[09:01:30.220]';-0.05;-0.16
'[09:01:30.224]';-0.055;-0.15
'[09:01:30.228]';-0.05;-0.145
'[09:01:30.232]';-0.04;-0.14
'[09:01:30.236]';-0.05;-0.145
'[09:01:30.240]';-0.05;-0.14
'[09:01:30.244]';-0.035;-0.155
'[09:01:30.248]';-0.055;-0.145
'[09:01:30.252]';-0.075;-0.155
'[09:01:30.256]';-0.05;-0.135
'[09:01:30.260]';-0.065;-0.135
'[09:01:30.264]';-0.055;-0.125
'[09:01:30.268]';-0.055;-0.13
'[09:01:30.272]';-0.08;-0.14
'[09:01:30.276]';-0.065;-0.145
'[09:01:30.280]';-0.065;-0.135
'[09:01:30.284]';-0.07;-0.145
'[09:01:30.288]';-0.065;-0.135
'[09:01:30.292]';-0.075;-0.135
'[09:01:30.296]';-0.05;-0.145
'[09:01:30.300]';-0.07;-0.135
'[09:01:30.304]';-0.08;-0.135
'[09:01:30.308]';-0.08;-0.15
'[09:01:30.312]';-0.07;-0.165
'[09:01:30.316]';-0.07;-0.16
'[09:01:30.320]';-0.06;-0.15
'[09:01:30.324]';-0.06;-0.145
'[09:01:30.328]';-0.06;-0.12
'[09:01:30.332]';-0.055;-0.11
'[09:01:30.336]';-0.06;-0.12
'[09:01:30.340]';-0.06;-0.125
'[09:01:30.344]';-0.055;-0.13
'[09:01:30.348]';-0.04;-0.145
'[09:01:30.352]';-0.025;-0.155
'[09:01:30.356]';0;-0.155
'[09:01:30.360]';0;-0.175
'[09:01:30.364]';0.025;-0.18
'[09:01:30.368]';0;-0.16
'[09:01:30.372]';-0.02;-0.155
'[09:01:30.376]';-0.055;-0.15
'[09:01:30.380]';-0.075;-0.135
'[09:01:30.384]';-0.04;-0.125
'[09:01:30.388]';-0.03;-0.095
'[09:01:30.392]';-0.02;-0.05
'[09:01:30.396]';-0.04;-0.04
'[09:01:30.400]';-0.065;-0.05
'[09:01:30.404]';-0.025;-0.07
'[09:01:30.408]';0.005;-0.09
'[09:01:30.412]';0.015;-0.065
'[09:01:30.416]';0.005;-0.065
'[09:01:30.420]';-0.06;-0.04
'[09:01:30.424]';-0.21;-0.025
'[09:01:30.428]';-0.34;0
'[09:01:30.432]';-0.425;0.015
'[09:01:30.436]';-0.41;0.03
'[09:01:30.440]';-0.34;0
'[09:01:30.444]';-0.25;-0.05
'[09:01:30.448]';-0.19;-0.095
'[09:01:30.452]';-0.16;-0.125
'[09:01:30.456]';-0.15;-0.16
'[09:01:30.460]';-0.125;-0.17
'[09:01:30.464]';-0.11;-0.175
'[09:01:30.468]';-0.095;-0.185
'[09:01:30.472]';-0.07;-0.155
'[09:01:30.476]';-0.03;-0.14
'[09:01:30.480]';-0.01;-0.12
'[09:01:30.484]';0;-0.145
'[09:01:30.488]';0;-0.135
'[09:01:30.492]';0.02;-0.135
'[09:01:30.496]';0.02;-0.14
'[09:01:30.500]';0.01;-0.16
'[09:01:30.504]';0;-0.18
'[09:01:30.508]';-0.01;-0.195
'[09:01:30.512]';0.005;-0.19
'[09:01:30.516]';0.02;-0.19
'[09:01:30.520]';0.03;-0.18
'[09:01:30.524]';0.03;-0.195
'[09:01:30.528]';0.045;-0.195
'[09:01:30.532]';0.055;-0.19
'[09:01:30.536]';0.055;-0.16
'[09:01:30.540]';0.03;-0.155
'[09:01:30.544]';0.035;-0.15
'[09:01:30.548]';0.025;-0.155
'[09:01:30.552]';0.035;-0.16
'[09:01:30.556]';0.05;-0.155
'[09:01:30.560]';0.05;-0.175
'[09:01:30.564]';0.045;-0.175
'[09:01:30.568]';0.045;-0.17
'[09:01:30.572]';0.03;-0.175
'[09:01:30.576]';0.04;-0.175
'[09:01:30.580]';0.045;-0.16
'[09:01:30.584]';0.055;-0.16
'[09:01:30.588]';0.055;-0.18
'[09:01:30.592]';0.07;-0.17
'[09:01:30.596]';0.06;-0.18
'[09:01:30.600]';0.02;-0.185
'[09:01:30.604]';0.015;-0.19
'[09:01:30.608]';0.01;-0.18
'[09:01:30.612]';0.02;-0.18
'[09:01:30.616]';0.03;-0.175
'[09:01:30.620]';0.04;-0.185
'[09:01:30.624]';0.04;-0.185
'[09:01:30.628]';0.01;-0.185
'[09:01:30.632]';0.025;-0.17
'[09:01:30.636]';0.055;-0.175
'[09:01:30.640]';0.08;-0.155
'[09:01:30.644]';0.05;-0.145
'[09:01:30.648]';0.005;-0.145
'[09:01:30.652]';-0.005;-0.165
'[09:01:30.656]';-0.005;-0.175
'[09:01:30.660]';0.01;-0.18
'[09:01:30.664]';0.025;-0.19
'[09:01:30.668]';0.03;-0.185
'[09:01:30.672]';0.025;-0.175
'[09:01:30.676]';0.035;-0.175
'[09:01:30.680]';0.02;-0.175
'[09:01:30.684]';0.035;-0.155
'[09:01:30.688]';0.025;-0.145
'[09:01:30.692]';0.015;-0.15
'[09:01:30.696]';0.01;-0.13
'[09:01:30.700]';0.01;-0.145
'[09:01:30.704]';0.005;-0.13
'[09:01:30.708]';0.01;-0.14
'[09:01:30.712]';0.015;-0.13
'[09:01:30.716]';0.015;-0.135
'[09:01:30.720]';0.01;-0.13
'[09:01:30.724]';0.02;-0.13
'[09:01:30.728]';0.01;-0.13
'[09:01:30.732]';0.015;-0.125
'[09:01:30.736]';0.015;-0.125
'[09:01:30.740]';0.02;-0.135
'[09:01:30.744]';0.025;-0.13
'[09:01:30.748]';0.025;-0.13
'[09:01:30.752]';0.025;-0.125
'[09:01:30.756]';0.02;-0.13
'[09:01:30.760]';0.03;-0.14
'[09:01:30.764]';0.035;-0.13
'[09:01:30.768]';0.07;-0.14
'[09:01:30.772]';0.07;-0.15
'[09:01:30.776]';0.07;-0.16
'[09:01:30.780]';0.05;-0.155
'[09:01:30.784]';0.03;-0.14
'[09:01:30.788]';0.03;-0.13
'[09:01:30.792]';0.05;-0.145
'[09:01:30.796]';0.05;-0.16
'[09:01:30.800]';0.03;-0.155
'[09:01:30.804]';0.02;-0.16
'[09:01:30.808]';0.035;-0.17
'[09:01:30.812]';0.075;-0.165
'[09:01:30.816]';0.06;-0.16
'[09:01:30.820]';0.045;-0.16
'[09:01:30.824]';0.03;-0.155
'[09:01:30.828]';0.02;-0.14
'[09:01:30.832]';0;-0.145
'[09:01:30.836]';0.02;-0.145
'[09:01:30.840]';0;-0.14
'[09:01:30.844]';0.025;-0.155
'[09:01:30.848]';0.01;-0.155
'[09:01:30.852]';0.01;-0.145
'[09:01:30.856]';0;-0.12
'[09:01:30.860]';0.01;-0.135
'[09:01:30.864]';0.025;-0.16
'[09:01:30.868]';0.035;-0.175
'[09:01:30.872]';0.055;-0.165
'[09:01:30.876]';0.065;-0.15
'[09:01:30.880]';0.055;-0.14
'[09:01:30.884]';0.02;-0.15
'[09:01:30.888]';0.02;-0.16
'[09:01:30.892]';0;-0.16
'[09:01:30.896]';0.015;-0.15
'[09:01:30.900]';0.015;-0.15
'[09:01:30.904]';0.04;-0.14
'[09:01:30.908]';0.02;-0.14
'[09:01:30.912]';0.03;-0.14
'[09:01:30.916]';0.035;-0.13
'[09:01:30.920]';0.03;-0.135
'[09:01:30.924]';0.025;-0.145
'[09:01:30.928]';0.005;-0.15
'[09:01:30.932]';0.02;-0.15
'[09:01:30.936]';0.045;-0.16
'[09:01:30.940]';0.06;-0.16
'[09:01:30.944]';0.065;-0.155
'[09:01:30.948]';0.05;-0.15
'[09:01:30.952]';0.05;-0.14
'[09:01:30.956]';0.045;-0.15
'[09:01:30.960]';0.03;-0.135
'[09:01:30.964]';-0.015;-0.135
'[09:01:30.968]';-0.025;-0.145
'[09:01:30.972]';-0.01;-0.15
'[09:01:30.976]';0;-0.145
'[09:01:30.980]';0.01;-0.155
'[09:01:30.984]';0.01;-0.145
'[09:01:30.988]';0.01;-0.14
'[09:01:30.992]';0.01;-0.14
'[09:01:30.996]';0.03;-0.135
'[09:01:31.000]';0.025;-0.14
'[09:01:31.004]';0.005;-0.13
'[09:01:31.008]';0;-0.14
'[09:01:31.012]';0.01;-0.145
'[09:01:31.016]';0.005;-0.155
'[09:01:31.020]';0.01;-0.155
'[09:01:31.024]';0.005;-0.145
'[09:01:31.028]';0.015;-0.15
'[09:01:31.032]';0.01;-0.155
'[09:01:31.036]';0.005;-0.17
'[09:01:31.040]';0.01;-0.16
'[09:01:31.044]';0.02;-0.16
'[09:01:31.048]';0.025;-0.17
'[09:01:31.052]';0.03;-0.155
'[09:01:31.056]';0.015;-0.16
'[09:01:31.060]';0.015;-0.155
'[09:01:31.064]';0.005;-0.145
'[09:01:31.068]';0.005;-0.145
'[09:01:31.072]';0.015;-0.15
'[09:01:31.076]';0.025;-0.145
'[09:01:31.080]';0.025;-0.12
'[09:01:31.084]';0.01;-0.13
'[09:01:31.088]';0.01;-0.115
'[09:01:31.092]';-0.005;-0.13
'[09:01:31.096]';0;-0.165
'[09:01:31.100]';0.01;-0.185
'[09:01:31.104]';0.015;-0.175
'[09:01:31.108]';0.025;-0.18
'[09:01:31.112]';0.01;-0.16
'[09:01:31.116]';0.01;-0.15
'[09:01:31.120]';0.03;-0.165
'[09:01:31.124]';0.045;-0.16
'[09:01:31.128]';0.06;-0.165
'[09:01:31.132]';0.055;-0.15
'[09:01:31.136]';0.045;-0.16
'[09:01:31.140]';0.01;-0.16
'[09:01:31.144]';-0.01;-0.16
'[09:01:31.148]';-0.02;-0.155
'[09:01:31.152]';-0.05;-0.14
'[09:01:31.156]';-0.02;-0.13
'[09:01:31.160]';-0.005;-0.12
'[09:01:31.164]';0.02;-0.08
'[09:01:31.168]';0;-0.06
'[09:01:31.172]';-0.025;-0.04
'[09:01:31.176]';-0.025;-0.08
'[09:01:31.180]';0;-0.115
'[09:01:31.184]';0.03;-0.155
'[09:01:31.188]';0.09;-0.14
'[09:01:31.192]';0.085;-0.125
'[09:01:31.196]';0.005;-0.1
'[09:01:31.200]';-0.13;-0.065
'[09:01:31.204]';-0.295;-0.06
'[09:01:31.208]';-0.395;-0.045
'[09:01:31.212]';-0.39;-0.015
'[09:01:31.216]';-0.345;-0.025
'[09:01:31.220]';-0.285;-0.06
'[09:01:31.224]';-0.22;-0.1
'[09:01:31.228]';-0.15;-0.135
'[09:01:31.232]';-0.095;-0.135
'[09:01:31.236]';-0.05;-0.15
'[09:01:31.240]';-0.035;-0.165
'[09:01:31.244]';-0.01;-0.17
'[09:01:31.248]';0;-0.17
'[09:01:31.252]';0.035;-0.16
'[09:01:31.256]';0.02;-0.16
'[09:01:31.260]';0.02;-0.175
'[09:01:31.264]';0.03;-0.18
'[09:01:31.268]';0.035;-0.195
'[09:01:31.272]';0.055;-0.2
'[09:01:31.276]';0.035;-0.215
'[09:01:31.280]';0.01;-0.205
'[09:01:31.284]';0.01;-0.195
'[09:01:31.288]';-0.01;-0.185
'[09:01:31.292]';0;-0.195
'[09:01:31.296]';0.02;-0.205
'[09:01:31.300]';0.035;-0.195
'[09:01:31.304]';0.06;-0.2
'[09:01:31.308]';0.08;-0.185
'[09:01:31.312]';0.09;-0.19
'[09:01:31.316]';0.06;-0.18
'[09:01:31.320]';0.05;-0.185
'[09:01:31.324]';0.055;-0.185
'[09:01:31.328]';0.06;-0.18
'[09:01:31.332]';0.09;-0.2
'[09:01:31.336]';0.06;-0.21
'[09:01:31.340]';0.055;-0.2
'[09:01:31.344]';0.055;-0.205
'[09:01:31.348]';0.085;-0.2
'[09:01:31.352]';0.085;-0.205
'[09:01:31.356]';0.075;-0.195
'[09:01:31.360]';0.1;-0.18
'[09:01:31.364]';0.125;-0.2
'[09:01:31.368]';0.105;-0.195
'[09:01:31.372]';0.075;-0.205
'[09:01:31.376]';0.07;-0.215
'[09:01:31.380]';0.05;-0.21
'[09:01:31.384]';0.045;-0.21
'[09:01:31.388]';0.03;-0.22
'[09:01:31.392]';0.025;-0.19
'[09:01:31.396]';0.02;-0.2
'[09:01:31.400]';0.025;-0.205
'[09:01:31.404]';0.04;-0.225
'[09:01:31.408]';0.05;-0.22
'[09:01:31.412]';0.045;-0.205
'[09:01:31.416]';0.04;-0.21
'[09:01:31.420]';0.04;-0.175
'[09:01:31.424]';0.05;-0.18
'[09:01:31.428]';0.065;-0.18
'[09:01:31.432]';0.055;-0.175
'[09:01:31.436]';0.035;-0.17
'[09:01:31.440]';0.05;-0.175
'[09:01:31.444]';0.055;-0.18
'[09:01:31.448]';0.05;-0.175
'[09:01:31.452]';0.05;-0.175
'[09:01:31.456]';0.08;-0.185
'[09:01:31.460]';0.105;-0.175
'[09:01:31.464]';0.075;-0.17
'[09:01:31.468]';0.025;-0.17
'[09:01:31.472]';0.01;-0.17
'[09:01:31.476]';0.015;-0.145
'[09:01:31.480]';0.02;-0.15
'[09:01:31.484]';0.04;-0.165
'[09:01:31.488]';0.055;-0.165
'[09:01:31.492]';0.045;-0.165
'[09:01:31.496]';0.05;-0.17
'[09:01:31.500]';0.065;-0.16
'[09:01:31.504]';0.075;-0.165
'[09:01:31.508]';0.075;-0.16
'[09:01:31.512]';0.085;-0.155
'[09:01:31.516]';0.095;-0.15
'[09:01:31.520]';0.09;-0.145
'[09:01:31.524]';0.11;-0.155
'[09:01:31.528]';0.11;-0.155
'[09:01:31.532]';0.07;-0.145
'[09:01:31.536]';0.025;-0.135
'[09:01:31.540]';0;-0.125
'[09:01:31.544]';-0.01;-0.12
'[09:01:31.548]';0.025;-0.14
'[09:01:31.552]';0.035;-0.155
'[09:01:31.556]';0.06;-0.17
'[09:01:31.560]';0.065;-0.185
'[09:01:31.564]';0.075;-0.17
'[09:01:31.568]';0.07;-0.145
'[09:01:31.572]';0.075;-0.145
'[09:01:31.576]';0.07;-0.17
'[09:01:31.580]';0.06;-0.165
'[09:01:31.584]';0.075;-0.185
'[09:01:31.588]';0.075;-0.18
'[09:01:31.592]';0.11;-0.18
'[09:01:31.596]';0.115;-0.175
'[09:01:31.600]';0.14;-0.16
'[09:01:31.604]';0.12;-0.185
'[09:01:31.608]';0.09;-0.17
'[09:01:31.612]';0.085;-0.175
'[09:01:31.616]';0.06;-0.165
'[09:01:31.620]';0.045;-0.155
'[09:01:31.624]';0.045;-0.16
'[09:01:31.628]';0.075;-0.17
'[09:01:31.632]';0.075;-0.185
'[09:01:31.636]';0.07;-0.185
'[09:01:31.640]';0.075;-0.175
'[09:01:31.644]';0.065;-0.17
'[09:01:31.648]';0.07;-0.16
'[09:01:31.652]';0.07;-0.17
'[09:01:31.656]';0.07;-0.16
'[09:01:31.660]';0.08;-0.165
'[09:01:31.664]';0.065;-0.145
'[09:01:31.668]';0.075;-0.15
'[09:01:31.672]';0.075;-0.155
'[09:01:31.676]';0.075;-0.15
'[09:01:31.680]';0.1;-0.145
'[09:01:31.684]';0.08;-0.135
'[09:01:31.688]';0.07;-0.14
'[09:01:31.692]';0.04;-0.17
'[09:01:31.696]';0.04;-0.18
'[09:01:31.700]';0.065;-0.165
'[09:01:31.704]';0.095;-0.16
'[09:01:31.708]';0.095;-0.16
'[09:01:31.712]';0.05;-0.16
'[09:01:31.716]';0.01;-0.145
'[09:01:31.720]';0.02;-0.15
'[09:01:31.724]';0.03;-0.15
'[09:01:31.728]';0.045;-0.145
'[09:01:31.732]';0.065;-0.165
'[09:01:31.736]';0.1;-0.17
'[09:01:31.740]';0.085;-0.155
'[09:01:31.744]';0.055;-0.135
'[09:01:31.748]';0.035;-0.15
'[09:01:31.752]';0.045;-0.155
'[09:01:31.756]';0.055;-0.155
'[09:01:31.760]';0.065;-0.155
'[09:01:31.764]';0.065;-0.12
'[09:01:31.768]';0.05;-0.115
'[09:01:31.772]';0.07;-0.09
'[09:01:31.776]';0.05;-0.065
'[09:01:31.780]';0.035;-0.05
'[09:01:31.784]';0.035;-0.075
'[09:01:31.788]';0.055;-0.115
'[09:01:31.792]';0.09;-0.095
'[09:01:31.796]';0.105;-0.1
'[09:01:31.800]';0.095;-0.09
'[09:01:31.804]';0.04;-0.08
'[09:01:31.808]';-0.115;-0.055
'[09:01:31.812]';-0.28;-0.02
'[09:01:31.816]';-0.335;0.02
'[09:01:31.820]';-0.34;0.015
'[09:01:31.824]';-0.295;0
'[09:01:31.828]';-0.215;-0.04
'[09:01:31.832]';-0.135;-0.085
'[09:01:31.836]';-0.075;-0.14
'[09:01:31.840]';-0.035;-0.17
'[09:01:31.844]';-0.01;-0.175
'[09:01:31.848]';0;-0.175
'[09:01:31.852]';-0.025;-0.175
'[09:01:31.856]';0.02;-0.17
'[09:01:31.860]';0.035;-0.18
'[09:01:31.864]';0.08;-0.18
'[09:01:31.868]';0.095;-0.195
'[09:01:31.872]';0.09;-0.195
'[09:01:31.876]';0.08;-0.185
'[09:01:31.880]';0.07;-0.2
'[09:01:31.884]';0.095;-0.195
'[09:01:31.888]';0.09;-0.195
'[09:01:31.892]';0.08;-0.18
'[09:01:31.896]';0.07;-0.19
'[09:01:31.900]';0.07;-0.21
'[09:01:31.904]';0.105;-0.22
'[09:01:31.908]';0.11;-0.2
'[09:01:31.912]';0.12;-0.2
'[09:01:31.916]';0.11;-0.175
'[09:01:31.920]';0.105;-0.18
'[09:01:31.924]';0.115;-0.18
'[09:01:31.928]';0.105;-0.195
'[09:01:31.932]';0.115;-0.175
'[09:01:31.936]';0.105;-0.165
'[09:01:31.940]';0.11;-0.17
'[09:01:31.944]';0.095;-0.18
'[09:01:31.948]';0.11;-0.18
'[09:01:31.952]';0.105;-0.18
'[09:01:31.956]';0.12;-0.175
'[09:01:31.960]';0.125;-0.175
'[09:01:31.964]';0.145;-0.175
'[09:01:31.968]';0.115;-0.185
'[09:01:31.972]';0.075;-0.185
'[09:01:31.976]';0.04;-0.19
'[09:01:31.980]';0.05;-0.185
'[09:01:31.984]';0.06;-0.175
'[09:01:31.988]';0.07;-0.185
'[09:01:31.992]';0.07;-0.19
'[09:01:31.996]';0.105;-0.21
'[09:01:32.000]';0.115;-0.2
'[09:01:32.004]';0.095;-0.2
'[09:01:32.008]';0.07;-0.19
'[09:01:32.012]';0.055;-0.18
'[09:01:32.016]';0.065;-0.165
'[09:01:32.020]';0.05;-0.18
'[09:01:32.024]';0.05;-0.175
'[09:01:32.028]';0.045;-0.185
'[09:01:32.032]';0.055;-0.195
'[09:01:32.036]';0.08;-0.205
'[09:01:32.040]';0.1;-0.195
'[09:01:32.044]';0.085;-0.175
'[09:01:32.048]';0.09;-0.185
'[09:01:32.052]';0.085;-0.175
'[09:01:32.056]';0.105;-0.195
'[09:01:32.060]';0.12;-0.2
'[09:01:32.064]';0.12;-0.195
'[09:01:32.068]';0.075;-0.175
'[09:01:32.072]';0.03;-0.16
'[09:01:32.076]';0.04;-0.18
'[09:01:32.080]';0.055;-0.17
'[09:01:32.084]';0.065;-0.175
'[09:01:32.088]';0.065;-0.18
'[09:01:32.092]';0.065;-0.16
'[09:01:32.096]';0.055;-0.165
'[09:01:32.100]';0.04;-0.165
'[09:01:32.104]';0.03;-0.175
'[09:01:32.108]';0.045;-0.17
'[09:01:32.112]';0.05;-0.18
'[09:01:32.116]';0.03;-0.175
'[09:01:32.120]';0.055;-0.165
'[09:01:32.124]';0.06;-0.16
'[09:01:32.128]';0.045;-0.17
'[09:01:32.132]';0.05;-0.17
'[09:01:32.136]';0.05;-0.18
'[09:01:32.140]';0.065;-0.195
'[09:01:32.144]';0.06;-0.205
'[09:01:32.148]';0.06;-0.19
'[09:01:32.152]';0.025;-0.195
'[09:01:32.156]';0.035;-0.175
'[09:01:32.160]';0.05;-0.18
'[09:01:32.164]';0.06;-0.175
'[09:01:32.168]';0.04;-0.175
'[09:01:32.172]';0.055;-0.185
'[09:01:32.176]';0.07;-0.195
'[09:01:32.180]';0.075;-0.185
'[09:01:32.184]';0.08;-0.175
'[09:01:32.188]';0.075;-0.165
'[09:01:32.192]';0.07;-0.165
'[09:01:32.196]';0.07;-0.175
'[09:01:32.200]';0.08;-0.185
'[09:01:32.204]';0.09;-0.2
'[09:01:32.208]';0.09;-0.19
'[09:01:32.212]';0.105;-0.19
'[09:01:32.216]';0.06;-0.18
'[09:01:32.220]';0.045;-0.175
'[09:01:32.224]';0.055;-0.19
'[09:01:32.228]';0.065;-0.18
'[09:01:32.232]';0.075;-0.19
'[09:01:32.236]';0.075;-0.18
'[09:01:32.240]';0.08;-0.19
'[09:01:32.244]';0.055;-0.175
'[09:01:32.248]';0.05;-0.175
'[09:01:32.252]';0.025;-0.165
'[09:01:32.256]';0.025;-0.18
'[09:01:32.260]';0.03;-0.185
'[09:01:32.264]';0.05;-0.195
'[09:01:32.268]';0.06;-0.18
'[09:01:32.272]';0.045;-0.175
'[09:01:32.276]';0.06;-0.175
'[09:01:32.280]';0.075;-0.165
'[09:01:32.284]';0.055;-0.165
'[09:01:32.288]';0.06;-0.15
'[09:01:32.292]';0.08;-0.115
'[09:01:32.296]';0.095;-0.075
'[09:01:32.300]';0.09;-0.06
'[09:01:32.304]';0.07;-0.065
'[09:01:32.308]';0.05;-0.095
'[09:01:32.312]';0.04;-0.1
'[09:01:32.316]';0.085;-0.095
'[09:01:32.320]';0.095;-0.09
'[09:01:32.324]';0.07;-0.085
'[09:01:32.328]';-0.02;-0.085
'[09:01:32.332]';-0.16;-0.075
'[09:01:32.336]';-0.305;-0.04
'[09:01:32.340]';-0.345;-0.035
'[09:01:32.344]';-0.315;-0.055
'[09:01:32.348]';-0.26;-0.08
'[09:01:32.352]';-0.18;-0.13
'[09:01:32.356]';-0.095;-0.155
'[09:01:32.360]';-0.05;-0.185
'[09:01:32.364]';-0.025;-0.17
'[09:01:32.368]';0;-0.18
'[09:01:32.372]';0;-0.185
'[09:01:32.376]';0.02;-0.185
'[09:01:32.380]';0.05;-0.175
'[09:01:32.384]';0.05;-0.165
'[09:01:32.388]';0.085;-0.18
'[09:01:32.392]';0.075;-0.2
'[09:01:32.396]';0.085;-0.21
'[09:01:32.400]';0.08;-0.215
'[09:01:32.404]';0.065;-0.225
'[09:01:32.408]';0.07;-0.215
'[09:01:32.412]';0.09;-0.2
'[09:01:32.416]';0.095;-0.215
'[09:01:32.420]';0.115;-0.22
'[09:01:32.424]';0.115;-0.21
'[09:01:32.428]';0.105;-0.215
'[09:01:32.432]';0.105;-0.205
'[09:01:32.436]';0.09;-0.205
'[09:01:32.440]';0.065;-0.2
'[09:01:32.444]';0.055;-0.185
'[09:01:32.448]';0.055;-0.2
'[09:01:32.452]';0.075;-0.19
'[09:01:32.456]';0.08;-0.19
'[09:01:32.460]';0.095;-0.205
'[09:01:32.464]';0.09;-0.21
'[09:01:32.468]';0.11;-0.205
'[09:01:32.472]';0.115;-0.205
'[09:01:32.476]';0.11;-0.2
'[09:01:32.480]';0.105;-0.215
'[09:01:32.484]';0.1;-0.21
'[09:01:32.488]';0.095;-0.205
'[09:01:32.492]';0.085;-0.19
'[09:01:32.496]';0.095;-0.2
'[09:01:32.500]';0.13;-0.215
'[09:01:32.504]';0.115;-0.21
'[09:01:32.508]';0.12;-0.205
'[09:01:32.512]';0.12;-0.195
'[09:01:32.516]';0.1;-0.185
'[09:01:32.520]';0.09;-0.18
'[09:01:32.524]';0.09;-0.185
'[09:01:32.528]';0.075;-0.195
'[09:01:32.532]';0.065;-0.195
'[09:01:32.536]';0.075;-0.18
'[09:01:32.540]';0.07;-0.16
'[09:01:32.544]';0.09;-0.16
'[09:01:32.548]';0.09;-0.175
'[09:01:32.552]';0.1;-0.195
'[09:01:32.556]';0.075;-0.19
'[09:01:32.560]';0.075;-0.19
'[09:01:32.564]';0.075;-0.17
'[09:01:32.568]';0.09;-0.14
'[09:01:32.572]';0.1;-0.155
'[09:01:32.576]';0.1;-0.15
'[09:01:32.580]';0.11;-0.16
'[09:01:32.584]';0.12;-0.16
'[09:01:32.588]';0.105;-0.17
'[09:01:32.592]';0.095;-0.18
'[09:01:32.596]';0.105;-0.165
'[09:01:32.600]';0.095;-0.175
'[09:01:32.604]';0.12;-0.17
'[09:01:32.608]';0.11;-0.175
'[09:01:32.612]';0.095;-0.17
'[09:01:32.616]';0.085;-0.18
'[09:01:32.620]';0.095;-0.155
'[09:01:32.624]';0.085;-0.165
'[09:01:32.628]';0.085;-0.155
'[09:01:32.632]';0.11;-0.145
'[09:01:32.636]';0.105;-0.14
'[09:01:32.640]';0.115;-0.155
'[09:01:32.644]';0.105;-0.145
'[09:01:32.648]';0.125;-0.125
