'Elapsed time';'ECG1';'ECG2'
'1:05.224';0.73;-0.06
'1:05.228';1.045;0.165
'1:05.232';0.79;0.17
'1:05.236';1.05;-0.505
'1:05.240';1.62;-1.25
'1:05.244';1.11;-1.705
'1:05.248';-0.24;-1.925
'1:05.252';-0.925;-2.21
'1:05.256';-0.67;-2.385
'1:05.260';-0.545;-2.66
'1:05.264';-0.93;-2.925
'1:05.268';-1.155;-2.55
'1:05.272';-0.42;-1.81
'1:05.276';0.13;-1.385
'1:05.280';-0.29;-0.965
'1:05.284';-0.76;-0.53
'1:05.288';-0.285;-0.33
'1:05.292';0.11;-0.42
'1:05.296';-0.39;-0.38
'1:05.300';-0.81;-0.305
'1:05.304';-0.26;-0.31
'1:05.308';0.14;-0.39
'1:05.312';-0.38;-0.415
'1:05.316';-0.795;-0.36
'1:05.320';-0.25;-0.34
'1:05.324';0.165;-0.405
'1:05.328';-0.335;-0.42
'1:05.332';-0.775;-0.36
'1:05.336';-0.315;-0.315
'1:05.340';0.145;-0.38
'1:05.344';-0.29;-0.425
'1:05.348';-0.755;-0.345
'1:05.352';-0.335;-0.285
'1:05.356';0.19;-0.345
'1:05.360';-0.16;-0.37
'1:05.364';-0.755;-0.325
'1:05.368';-0.435;-0.28
'1:05.372';0.155;-0.3
'1:05.376';-0.045;-0.36
'1:05.380';-0.69;-0.305
'1:05.384';-0.44;-0.27
'1:05.388';0.16;-0.3
'1:05.392';0.03;-0.32
'1:05.396';-0.6;-0.225
'1:05.400';-0.5;-0.18
'1:05.404';0.155;-0.195
'1:05.408';0.09;-0.215
'1:05.412';-0.535;-0.155
'1:05.416';-0.445;-0.055
'1:05.420';0.25;-0.07
'1:05.424';0.175;-0.075
'1:05.428';-0.45;-0.055
'1:05.432';-0.38;0.05
'1:05.436';0.255;0.02
'1:05.440';0.26;0.03
'1:05.444';-0.365;0.085
'1:05.448';-0.37;0.145
'1:05.452';0.26;0.13
'1:05.456';0.36;0.145
'1:05.460';-0.235;0.14
'1:05.464';-0.39;0.22
'1:05.468';0.22;0.22
'1:05.472';0.42;0.14
'1:05.476';-0.16;0.18
'1:05.480';-0.47;0.23
'1:05.484';0.1;0.235
'1:05.488';0.43;0.16
'1:05.492';-0.11;0.135
'1:05.496';-0.55;0.155
'1:05.500';-0.095;0.15
'1:05.504';0.325;0.055
'1:05.508';-0.09;-0.01
'1:05.512';-0.65;0.01
'1:05.516';-0.345;-0.03
'1:05.520';0.205;-0.12
'1:05.524';-0.095;-0.205
'1:05.528';-0.695;-0.185
'1:05.532';-0.45;-0.215
'1:05.536';0.14;-0.28
'1:05.540';-0.04;-0.355
'1:05.544';-0.66;-0.38
'1:05.548';-0.53;-0.32
'1:05.552';0.095;-0.405
'1:05.556';-0.02;-0.47
'1:05.560';-0.665;-0.465
'1:05.564';-0.61;-0.4
'1:05.568';0.065;-0.455
'1:05.572';0.015;-0.485
'1:05.576';-0.605;-0.49
'1:05.580';-0.63;-0.405
'1:05.584';0;-0.45
'1:05.588';0.12;-0.505
'1:05.592';-0.515;-0.47
'1:05.596';-0.665;-0.415
'1:05.600';-0.055;-0.39
'1:05.604';0.135;-0.475
'1:05.608';-0.43;-0.485
'1:05.612';-0.715;-0.4
'1:05.616';-0.135;-0.385
'1:05.620';0.225;-0.455
'1:05.624';-0.285;-0.45
'1:05.628';-0.76;-0.4
'1:05.632';-0.275;-0.39
'1:05.636';0.21;-0.44
'1:05.640';-0.16;-0.48
'1:05.644';-0.735;-0.43
'1:05.648';-0.4;-0.35
'1:05.652';0.205;-0.44
'1:05.656';-0.02;-0.45
'1:05.660';-0.695;-0.42
'1:05.664';-0.51;-0.355
'1:05.668';0.125;-0.425
'1:05.672';0.06;-0.465
'1:05.676';-0.6;-0.475
'1:05.680';-0.58;-0.395
'1:05.684';0.055;-0.4
'1:05.688';0.025;-0.485
'1:05.692';-0.6;-0.44
'1:05.696';-0.59;-0.385
'1:05.700';0.08;-0.4
'1:05.704';0.06;-0.445
'1:05.708';-0.6;-0.44
'1:05.712';-0.645;-0.395
'1:05.716';0.005;-0.385
'1:05.720';0.085;-0.46
'1:05.724';-0.535;-0.44
'1:05.728';-0.68;-0.385
'1:05.732';-0.06;-0.37
'1:05.736';0.125;-0.46
'1:05.740';-0.45;-0.45
'1:05.744';-0.73;-0.39
'1:05.748';-0.155;-0.385
'1:05.752';0.195;-0.465
'1:05.756';-0.345;-0.465
'1:05.760';-0.77;-0.39
'1:05.764';-0.33;-0.37
'1:05.768';0.205;-0.435
'1:05.772';-0.16;-0.465
'1:05.776';-0.735;-0.4
'1:05.780';-0.49;-0.365
'1:05.784';0.14;-0.4
'1:05.788';-0.015;-0.435
'1:05.792';-0.67;-0.41
'1:05.796';-0.575;-0.375
'1:05.800';0.07;-0.42
'1:05.804';0;-0.46
'1:05.808';-0.615;-0.445
'1:05.812';-0.585;-0.35
'1:05.816';0.065;-0.355
'1:05.820';0.125;-0.405
'1:05.824';-0.515;-0.4
'1:05.828';-0.51;-0.275
'1:05.832';0.19;-0.255
'1:05.836';0.21;-0.255
'1:05.840';-0.42;-0.19
'1:05.844';-0.525;-0.13
'1:05.848';0.2;-0.065
'1:05.852';0.305;-0.175
'1:05.856';-0.38;-0.235
'1:05.860';-0.5;-0.215
'1:05.864';0.095;-0.28
'1:05.868';0.215;-0.42
'1:05.872';-0.44;-0.5
'1:05.876';-0.625;-0.51
'1:05.880';-0.035;-0.455
'1:05.884';0.25;-0.54
'1:05.888';-0.3;-0.49
'1:05.892';-0.725;-0.435
'1:05.896';-0.235;-0.41
'1:05.900';0.18;-0.51
'1:05.904';-0.26;-0.52
'1:05.908';-0.805;-0.42
'1:05.912';-0.485;-0.385
'1:05.916';0.065;-0.465
'1:05.920';-0.185;-0.515
'1:05.924';-0.795;-0.435
'1:05.928';-0.58;-0.415
'1:05.932';0.05;-0.46
'1:05.936';-0.04;-0.535
'1:05.940';-0.67;-0.5
'1:05.944';-0.59;-0.42
'1:05.948';0.075;-0.465
'1:05.952';0;-0.51
'1:05.956';-0.655;-0.465
'1:05.960';-0.61;-0.395
'1:05.964';0.005;-0.39
'1:05.968';-0.07;-0.35
'1:05.972';-0.755;-0.125
'1:05.976';-0.695;0.14
'1:05.980';0.155;0.11
'1:05.984';0.6;-0.02
'1:05.988';0.38;0.225
'1:05.992';0.555;0.305
'1:05.996';1.495;-0.45
'1:06.000';1.955;-1.28
'1:06.004';1.095;-1.75
'1:06.008';-0.02;-1.94
'1:06.012';-0.245;-2.28
'1:06.016';-0.175;-2.585
'1:06.020';-0.755;-2.825
'1:06.024';-1.345;-2.975
'1:06.028';-0.915;-2.68
'1:06.032';-0.095;-1.995
'1:06.036';-0.04;-1.435
'1:06.040';-0.625;-0.93
'1:06.044';-0.62;-0.495
'1:06.048';0.005;-0.33
'1:06.052';0.02;-0.39
'1:06.056';-0.65;-0.335
'1:06.060';-0.765;-0.25
'1:06.064';-0.095;-0.28
'1:06.068';0.07;-0.365
'1:06.072';-0.495;-0.385
'1:06.076';-0.77;-0.315
'1:06.080';-0.135;-0.34
'1:06.084';0.105;-0.41
'1:06.088';-0.45;-0.44
'1:06.092';-0.765;-0.4
'1:06.096';-0.24;-0.375
'1:06.100';0.145;-0.46
'1:06.104';-0.37;-0.475
'1:06.108';-0.765;-0.385
'1:06.112';-0.3;-0.37
'1:06.116';0.2;-0.46
'1:06.120';-0.225;-0.475
'1:06.124';-0.775;-0.395
'1:06.128';-0.43;-0.385
'1:06.132';0.145;-0.44
'1:06.136';-0.13;-0.465
'1:06.140';-0.73;-0.395
'1:06.144';-0.525;-0.32
'1:06.148';0.125;-0.355
'1:06.152';0.08;-0.42
'1:06.156';-0.58;-0.365
'1:06.160';-0.61;-0.265
'1:06.164';0.08;-0.28
'1:06.168';0.21;-0.3
'1:06.172';-0.425;-0.28
'1:06.176';-0.64;-0.185
'1:06.180';0;-0.155
'1:06.184';0.34;-0.17
'1:06.188';-0.175;-0.165
'1:06.192';-0.605;-0.08
'1:06.196';-0.04;-0.015
'1:06.200';0.42;-0.02
'1:06.204';-0.05;-0.025
'1:06.208';-0.52;0.07
'1:06.212';-0.085;0.115
'1:06.216';0.425;0.07
'1:06.220';0.065;0.04
'1:06.224';-0.46;0.07
'1:06.228';-0.115;0.19
'1:06.232';0.54;0.125
'1:06.236';0.24;0.075
'1:06.240';-0.39;0.105
'1:06.244';-0.165;0.17
'1:06.248';0.45;0.15
'1:06.252';0.215;0.09
'1:06.256';-0.47;0.105
'1:06.260';-0.32;0.14
'1:06.264';0.305;0.075
'1:06.268';0.18;0
'1:06.272';-0.52;-0.015
'1:06.276';-0.505;-0.015
'1:06.280';0.125;-0.085
'1:06.284';0.165;-0.225
'1:06.288';-0.515;-0.235
'1:06.292';-0.715;-0.175
'1:06.296';-0.08;-0.235
'1:06.300';0.16;-0.37
'1:06.304';-0.41;-0.405
'1:06.308';-0.76;-0.365
'1:06.312';-0.205;-0.395
'1:06.316';0.195;-0.505
'1:06.320';-0.31;-0.53
'1:06.324';-0.795;-0.44
'1:06.328';-0.4;-0.48
'1:06.332';0.14;-0.535
'1:06.336';-0.25;-0.55
'1:06.340';-0.785;-0.48
'1:06.344';-0.395;-0.44
'1:06.348';0.16;-0.52
'1:06.352';-0.135;-0.54
'1:06.356';-0.7;-0.495
'1:06.360';-0.405;-0.43
'1:06.364';0.17;-0.455
'1:06.368';-0.125;-0.485
'1:06.372';-0.735;-0.445
'1:06.376';-0.51;-0.375
'1:06.380';0.12;-0.39
'1:06.384';-0.045;-0.44
'1:06.388';-0.67;-0.425
'1:06.392';-0.555;-0.385
'1:06.396';0.1;-0.385
'1:06.400';0.095;-0.45
'1:06.404';-0.595;-0.38
'1:06.408';-0.685;-0.34
'1:06.412';-0.05;-0.345
'1:06.416';0.17;-0.425
'1:06.420';-0.43;-0.395
'1:06.424';-0.79;-0.33
'1:06.428';-0.23;-0.33
'1:06.432';0.195;-0.395
'1:06.436';-0.235;-0.44
'1:06.440';-0.79;-0.315
'1:06.444';-0.44;-0.325
'1:06.448';0.17;-0.375
'1:06.452';-0.12;-0.435
'1:06.456';-0.735;-0.375
'1:06.460';-0.575;-0.3
'1:06.464';0.09;-0.38
'1:06.468';0;-0.435
'1:06.472';-0.655;-0.405
'1:06.476';-0.635;-0.31
'1:06.480';0.025;-0.355
'1:06.484';0.025;-0.415
'1:06.488';-0.66;-0.385
'1:06.492';-0.715;-0.315
'1:06.496';-0.07;-0.34
'1:06.500';0.065;-0.41
'1:06.504';-0.54;-0.395
'1:06.508';-0.77;-0.335
'1:06.512';-0.165;-0.34
'1:06.516';0.17;-0.395
'1:06.520';-0.38;-0.395
'1:06.524';-0.835;-0.35
'1:06.528';-0.34;-0.315
'1:06.532';0.16;-0.37
'1:06.536';-0.225;-0.385
'1:06.540';-0.8;-0.365
'1:06.544';-0.525;-0.305
'1:06.548';0.12;-0.33
'1:06.552';0.015;-0.425
'1:06.556';-0.65;-0.345
'1:06.560';-0.705;-0.3
'1:06.564';-0.035;-0.325
'1:06.568';0.105;-0.395
'1:06.572';-0.505;-0.34
'1:06.576';-0.775;-0.26
'1:06.580';-0.175;-0.275
'1:06.584';0.21;-0.295
'1:06.588';-0.305;-0.32
'1:06.592';-0.72;-0.245
'1:06.596';-0.24;-0.12
'1:06.600';0.315;-0.145
'1:06.604';-0.08;-0.155
'1:06.608';-0.69;-0.085
'1:06.612';-0.345;0
'1:06.616';0.31;-0.06
'1:06.620';0.085;-0.125
'1:06.624';-0.62;-0.165
'1:06.628';-0.46;-0.12
'1:06.632';0.175;-0.225
'1:06.636';0.15;-0.38
'1:06.640';-0.56;-0.43
'1:06.644';-0.625;-0.4
'1:06.648';0.02;-0.395
'1:06.652';0.13;-0.435
'1:06.656';-0.5;-0.38
'1:06.660';-0.795;-0.325
'1:06.664';-0.265;-0.365
'1:06.668';0.095;-0.415
'1:06.672';-0.385;-0.38
'1:06.676';-0.94;-0.265
'1:06.680';-0.57;-0.315
'1:06.684';0.025;-0.38
'1:06.688';-0.19;-0.45
'1:06.692';-0.82;-0.36
'1:06.696';-0.69;-0.35
'1:06.700';-0.03;-0.355
'1:06.704';-0.005;-0.43
'1:06.708';-0.7;-0.415
'1:06.712';-0.74;-0.35
'1:06.716';-0.105;-0.355
'1:06.720';0.08;-0.44
'1:06.724';-0.55;-0.4
'1:06.728';-0.84;-0.33
'1:06.732';-0.28;-0.315
'1:06.736';0.025;-0.355
'1:06.740';-0.56;-0.2
'1:06.744';-0.935;0.12
'1:06.748';-0.28;0.255
'1:06.752';0.495;0.145
'1:06.756';0.465;0.12
'1:06.760';0.3;0.48
'1:06.764';0.935;0.32
'1:06.768';1.81;-0.49
'1:06.772';1.51;-1.175
'1:06.776';0.265;-1.455
'1:06.780';-0.335;-1.695
'1:06.784';-0.15;-2.1
'1:06.788';-0.5;-2.335
'1:06.792';-1.325;-2.605
'1:06.796';-1.24;-2.615
'1:06.800';-0.405;-2.075
'1:06.804';-0.03;-1.57
'1:06.808';-0.45;-1.095
'1:06.812';-0.745;-0.62
'1:06.816';-0.26;-0.24
'1:06.820';0.115;-0.135
'1:06.824';-0.36;-0.16
'1:06.828';-0.85;-0.08
'1:06.832';-0.42;-0.04
'1:06.836';0.12;-0.09
'1:06.840';-0.19;-0.145
'1:06.844';-0.78;-0.085
'1:06.848';-0.52;-0.015
'1:06.852';0.105;-0.08
'1:06.856';-0.04;-0.125
'1:06.860';-0.685;-0.08
'1:06.864';-0.615;-0.01
'1:06.868';0.025;-0.03
'1:06.872';0.005;-0.08
'1:06.876';-0.615;-0.065
'1:06.880';-0.59;0
'1:06.884';0.065;-0.02
'1:06.888';0.12;-0.075
'1:06.892';-0.55;-0.035
'1:06.896';-0.675;0.005
'1:06.900';-0.05;0.01
'1:06.904';0.12;-0.04
'1:06.908';-0.465;-0.02
'1:06.912';-0.66;0.055
'1:06.916';-0.08;0.085
'1:06.920';0.2;0
'1:06.924';-0.385;0.01
'1:06.928';-0.665;0.07
'1:06.932';-0.095;0.11
'1:06.936';0.295;0.095
'1:06.940';-0.19;0.09
'1:06.944';-0.635;0.18
'1:06.948';-0.125;0.255
'1:06.952';0.365;0.195
'1:06.956';-0.01;0.2
'1:06.960';-0.56;0.265
'1:06.964';-0.235;0.335
'1:06.968';0.38;0.33
'1:06.972';0.195;0.255
'1:06.976';-0.425;0.355
'1:06.980';-0.285;0.445
'1:06.984';0.395;0.41
'1:06.988';0.35;0.385
'1:06.992';-0.29;0.41
'1:06.996';-0.29;0.52
'1:07.000';0.37;0.51
'1:07.004';0.435;0.45
'1:07.008';-0.215;0.43
'1:07.012';-0.38;0.51
'1:07.016';0.27;0.48
'1:07.020';0.435;0.405
'1:07.024';-0.225;0.42
'1:07.028';-0.485;0.485
'1:07.032';0.09;0.46
'1:07.036';0.36;0.35
'1:07.040';-0.26;0.32
'1:07.044';-0.565;0.33
'1:07.048';-0.02;0.335
'1:07.052';0.3;0.235
'1:07.056';-0.3;0.16
'1:07.060';-0.715;0.16
'1:07.064';-0.23;0.16
'1:07.068';0.225;0.07
'1:07.072';-0.18;-0.02
'1:07.076';-0.75;0.02
'1:07.080';-0.445;0.025
'1:07.084';0.13;-0.035
'1:07.088';-0.05;-0.135
'1:07.092';-0.705;-0.085
'1:07.096';-0.585;-0.065
'1:07.100';0.085;-0.115
'1:07.104';0.045;-0.19
'1:07.108';-0.575;-0.19
'1:07.112';-0.635;-0.105
'1:07.116';0.01;-0.115
'1:07.120';0.11;-0.18
'1:07.124';-0.535;-0.16
'1:07.128';-0.66;-0.115
'1:07.132';0.01;-0.12
'1:07.136';0.155;-0.17
'1:07.140';-0.49;-0.165
'1:07.144';-0.69;-0.09
'1:07.148';-0.06;-0.125
'1:07.152';0.19;-0.195
'1:07.156';-0.43;-0.13
'1:07.160';-0.705;-0.09
'1:07.164';-0.115;-0.075
'1:07.168';0.225;-0.15
'1:07.172';-0.325;-0.14
'1:07.176';-0.7;-0.09
'1:07.180';-0.19;-0.055
'1:07.184';0.235;-0.16
'1:07.188';-0.245;-0.16
'1:07.192';-0.795;-0.105
'1:07.196';-0.39;-0.065
'1:07.200';0.185;-0.16
'1:07.204';-0.09;-0.2
'1:07.208';-0.76;-0.1
'1:07.212';-0.545;-0.04
'1:07.216';0.12;-0.09
'1:07.220';0.06;-0.19
'1:07.224';-0.595;-0.13
'1:07.228';-0.61;-0.09
'1:07.232';0.075;-0.11
'1:07.236';0.125;-0.155
'1:07.240';-0.525;-0.16
'1:07.244';-0.705;-0.08
'1:07.248';-0.085;-0.13
'1:07.252';0.135;-0.18
'1:07.256';-0.49;-0.22
'1:07.260';-0.735;-0.125
'1:07.264';-0.135;-0.1
'1:07.268';0.13;-0.215
'1:07.272';-0.485;-0.2
'1:07.276';-0.69;-0.13
'1:07.280';-0.085;-0.12
'1:07.284';0.12;-0.2
'1:07.288';-0.49;-0.185
'1:07.292';-0.725;-0.145
'1:07.296';-0.13;-0.13
'1:07.300';0.19;-0.195
'1:07.304';-0.405;-0.17
'1:07.308';-0.74;-0.14
'1:07.312';-0.235;-0.13
'1:07.316';0.155;-0.215
'1:07.320';-0.345;-0.245
'1:07.324';-0.81;-0.15
'1:07.328';-0.285;-0.125
'1:07.332';0.17;-0.195
'1:07.336';-0.21;-0.24
'1:07.340';-0.755;-0.125
'1:07.344';-0.36;-0.125
'1:07.348';0.2;-0.165
'1:07.352';-0.135;-0.185
'1:07.356';-0.73;-0.14
'1:07.360';-0.41;-0.105
'1:07.364';0.22;-0.1
'1:07.368';-0.01;-0.09
'1:07.372';-0.59;0
'1:07.376';-0.41;0.075
'1:07.380';0.225;0.05
'1:07.384';0.055;0.035
'1:07.388';-0.55;0.065
'1:07.392';-0.285;0.04
'1:07.396';0.27;-0.05
'1:07.400';-0.005;-0.12
'1:07.404';-0.64;-0.16
'1:07.408';-0.45;-0.23
'1:07.412';0.15;-0.32
'1:07.416';-0.105;-0.305
'1:07.420';-0.745;-0.24
'1:07.424';-0.51;-0.18
'1:07.428';0.085;-0.22
'1:07.432';-0.13;-0.31
'1:07.436';-0.825;-0.23
'1:07.440';-0.595;-0.145
'1:07.444';0.02;-0.235
'1:07.448';-0.165;-0.275
'1:07.452';-0.81;-0.255
'1:07.456';-0.635;-0.22
'1:07.460';0.03;-0.235
'1:07.464';-0.065;-0.28
'1:07.468';-0.76;-0.255
'1:07.472';-0.735;-0.195
'1:07.476';-0.05;-0.225
'1:07.480';-0.02;-0.29
'1:07.484';-0.7;-0.26
'1:07.488';-0.79;-0.17
'1:07.492';-0.095;-0.165
'1:07.496';0.015;-0.24
'1:07.500';-0.655;-0.18
'1:07.504';-0.965;0.035
'1:07.508';-0.255;0.25
'1:07.512';0.23;0.315
'1:07.516';-0.135;0.27
'1:07.520';-0.05;0.37
'1:07.524';0.95;0.685
'1:07.528';1.65;0.34
'1:07.532';1.29;-0.39
'1:07.536';0.73;-0.95
'1:07.540';0.49;-1.2
'1:07.544';0.225;-1.595
'1:07.548';-0.775;-1.905
'1:07.552';-1.51;-2.19
'1:07.556';-0.945;-2.26
'1:07.560';-0.22;-2.16
'1:07.564';-0.62;-1.72
'1:07.568';-0.945;-1.185
'1:07.572';-0.3;-0.715
'1:07.576';0.165;-0.365
'1:07.580';-0.32;-0.14
'1:07.584';-0.89;0
'1:07.588';-0.495;0.025
'1:07.592';0.075;-0.015
'1:07.596';-0.215;-0.06
'1:07.600';-0.845;0
'1:07.604';-0.55;0.02
'1:07.608';0.085;0.005
'1:07.612';-0.085;-0.065
'1:07.616';-0.725;-0.01
'1:07.620';-0.675;0.045
'1:07.624';0.01;0.005
'1:07.628';0.035;0
'1:07.632';-0.585;0.005
'1:07.636';-0.72;0.09
'1:07.640';-0.095;0.06
'1:07.644';0.12;0.01
'1:07.648';-0.535;0
'1:07.652';-0.78;0.08
'1:07.656';-0.13;0.07
'1:07.660';0.13;0.035
'1:07.664';-0.505;0.04
'1:07.668';-0.7;0.115
'1:07.672';-0.1;0.12
'1:07.676';0.14;0.08
'1:07.680';-0.455;0.13
'1:07.684';-0.66;0.185
'1:07.688';-0.03;0.195
'1:07.692';0.17;0.12
'1:07.696';-0.425;0.215
'1:07.700';-0.655;0.295
'1:07.704';-0.055;0.295
'1:07.708';0.215;0.255
'1:07.712';-0.345;0.295
'1:07.716';-0.635;0.42
'1:07.720';-0.02;0.4
'1:07.724';0.35;0.385
'1:07.728';-0.18;0.405
'1:07.732';-0.57;0.51
'1:07.736';-0.045;0.53
'1:07.740';0.385;0.525
'1:07.744';-0.085;0.49
'1:07.748';-0.52;0.585
'1:07.752';-0.115;0.615
'1:07.756';0.405;0.58
'1:07.760';0.06;0.58
'1:07.764';-0.47;0.64
'1:07.768';-0.1;0.685
'1:07.772';0.42;0.595
'1:07.776';0.01;0.58
'1:07.780';-0.52;0.61
'1:07.784';-0.16;0.62
'1:07.788';0.355;0.61
'1:07.792';-0.055;0.53
'1:07.796';-0.61;0.56
'1:07.800';-0.2;0.515
'1:07.804';0.285;0.455
'1:07.808';-0.195;0.34
'1:07.812';-0.75;0.37
'1:07.816';-0.32;0.325
'1:07.820';0.185;0.22
'1:07.824';-0.25;0.17
'1:07.828';-0.785;0.205
'1:07.832';-0.38;0.21
'1:07.836';0.155;0.12
'1:07.840';-0.21;0.045
'1:07.844';-0.8;0.115
'1:07.848';-0.43;0.1
'1:07.852';0.115;0.035
'1:07.856';-0.155;-0.015
'1:07.860';-0.76;0.07
'1:07.864';-0.525;0.07
'1:07.868';0.115;0.02
'1:07.872';-0.085;-0.035
'1:07.876';-0.72;0.045
'1:07.880';-0.52;0.085
'1:07.884';0.115;0.055
'1:07.888';-0.065;-0.005
'1:07.892';-0.685;0.02
'1:07.896';-0.525;0.095
'1:07.900';0.125;0.075
'1:07.904';0;0.04
'1:07.908';-0.67;0.04
'1:07.912';-0.5;0.14
'1:07.916';0.16;0.085
'1:07.920';0.02;0.05
'1:07.924';-0.625;0.075
'1:07.928';-0.47;0.165
'1:07.932';0.17;0.13
'1:07.936';-0.025;0.065
'1:07.940';-0.685;0.1
'1:07.944';-0.49;0.155
'1:07.948';0.18;0.13
'1:07.952';0.06;0.055
'1:07.956';-0.605;0.1
'1:07.960';-0.535;0.145
'1:07.964';0.15;0.145
'1:07.968';0.12;0.055
'1:07.972';-0.58;0.11
'1:07.976';-0.645;0.19
'1:07.980';0.025;0.1
'1:07.984';0.145;0.05
'1:07.988';-0.475;0.075
'1:07.992';-0.68;0.155
'1:07.996';-0.055;0.1
'1:08.000';0.21;0.04
'1:08.004';-0.395;0.075
'1:08.008';-0.72;0.135
'1:08.012';-0.145;0.15
'1:08.016';0.185;0.1
'1:08.020';-0.35;0.045
'1:08.024';-0.755;0.085
'1:08.028';-0.25;0.135
'1:08.032';0.205;0.085
'1:08.036';-0.27;0.035
'1:08.040';-0.745;0.105
'1:08.044';-0.255;0.14
'1:08.048';0.19;0.05
'1:08.052';-0.335;0.065
'1:08.056';-0.76;0.135
'1:08.060';-0.26;0.165
'1:08.064';0.21;0.085
'1:08.068';-0.25;0.065
'1:08.072';-0.73;0.1
'1:08.076';-0.285;0.155
'1:08.080';0.205;0.115
'1:08.084';-0.18;0.1
'1:08.088';-0.77;0.165
'1:08.092';-0.405;0.175
'1:08.096';0.15;0.145
'1:08.100';-0.155;0.105
'1:08.104';-0.71;0.2
'1:08.108';-0.4;0.26
'1:08.112';0.235;0.205
'1:08.116';0.04;0.115
'1:08.120';-0.595;0.245
'1:08.124';-0.44;0.37
'1:08.128';0.24;0.35
'1:08.132';0.095;0.32
'1:08.136';-0.545;0.43
'1:08.140';-0.455;0.49
'1:08.144';0.23;0.445
'1:08.148';0.255;0.29
'1:08.152';-0.415;0.285
'1:08.156';-0.6;0.315
'1:08.160';0.02;0.24
'1:08.164';0.165;0.065
'1:08.168';-0.48;0.035
'1:08.172';-0.7;0.125
'1:08.176';-0.07;0.15
'1:08.180';0.15;0.1
'1:08.184';-0.5;0.1
'1:08.188';-0.735;0.125
'1:08.192';-0.16;0.14
'1:08.196';0.035;0.09
'1:08.200';-0.6;0.1
'1:08.204';-0.845;0.155
'1:08.208';-0.22;0.15
'1:08.212';-0.02;0.04
'1:08.216';-0.665;0.085
'1:08.220';-0.775;0.12
'1:08.224';-0.135;0.125
'1:08.228';0.025;0.05
'1:08.232';-0.59;0.04
'1:08.236';-0.805;0.125
'1:08.240';-0.185;0.125
'1:08.244';0.085;0.065
'1:08.248';-0.52;0.04
'1:08.252';-0.88;0.17
'1:08.256';-0.36;0.195
'1:08.260';-0.025;0.335
'1:08.264';-0.495;0.555
'1:08.268';-0.675;0.675
'1:08.272';0.05;0.67
'1:08.276';0.89;0.72
'1:08.280';0.86;0.915
'1:08.284';0.735;0.355
'1:08.288';1.325;-0.435
'1:08.292';1.57;-1.15
'1:08.296';0.465;-1.455
'1:08.300';-0.685;-1.76
'1:08.304';-0.785;-1.97
'1:08.308';-0.53;-2.095
'1:08.312';-0.78;-2.24
'1:08.316';-1.125;-1.98
'1:08.320';-0.575;-1.18
'1:08.324';0.06;-0.665
'1:08.328';-0.32;-0.215
'1:08.332';-0.85;0.175
'1:08.336';-0.355;0.27
'1:08.340';0.065;0.255
'1:08.344';-0.355;0.24
'1:08.348';-0.85;0.345
'1:08.352';-0.37;0.345
'1:08.356';0.105;0.27
'1:08.360';-0.28;0.255
'1:08.364';-0.86;0.36
'1:08.368';-0.555;0.385
'1:08.372';0.095;0.36
'1:08.376';-0.165;0.295
'1:08.380';-0.81;0.345
'1:08.384';-0.56;0.415
'1:08.388';0.095;0.345
'1:08.392';-0.05;0.31
'1:08.396';-0.745;0.375
'1:08.400';-0.64;0.42
'1:08.404';-0.01;0.41
'1:08.408';-0.005;0.35
'1:08.412';-0.69;0.365
'1:08.416';-0.66;0.46
'1:08.420';0;0.43
'1:08.424';0.01;0.385
'1:08.428';-0.655;0.425
'1:08.432';-0.615;0.5
'1:08.436';0.03;0.485
'1:08.440';-0.005;0.43
'1:08.444';-0.65;0.505
'1:08.448';-0.55;0.62
'1:08.452';0.115;0.59
'1:08.456';0.065;0.54
'1:08.460';-0.58;0.6
'1:08.464';-0.46;0.67
'1:08.468';0.175;0.66
'1:08.472';0.145;0.635
'1:08.476';-0.49;0.71
'1:08.480';-0.485;0.83
'1:08.484';0.19;0.81
'1:08.488';0.265;0.765
'1:08.492';-0.375;0.825
'1:08.496';-0.48;0.9
'1:08.500';0.175;0.925
'1:08.504';0.395;0.875
'1:08.508';-0.195;0.87
'1:08.512';-0.47;0.955
'1:08.516';0.125;1
'1:08.520';0.43;0.945
'1:08.524';-0.11;0.925
'1:08.528';-0.52;1
'1:08.532';-0.025;1.005
'1:08.536';0.395;0.89
'1:08.540';-0.11;0.86
'1:08.544';-0.605;0.895
'1:08.548';-0.175;0.88
'1:08.552';0.275;0.745
'1:08.556';-0.21;0.715
'1:08.560';-0.715;0.705
'1:08.564';-0.31;0.71
'1:08.568';0.185;0.565
'1:08.572';-0.25;0.505
'1:08.576';-0.8;0.52
'1:08.580';-0.395;0.48
'1:08.584';0.115;0.41
'1:08.588';-0.275;0.375
'1:08.592';-0.83;0.375
'1:08.596';-0.51;0.355
'1:08.600';0.07;0.31
'1:08.604';-0.235;0.24
'1:08.608';-0.84;0.285
'1:08.612';-0.59;0.31
'1:08.616';0.06;0.295
'1:08.620';-0.075;0.2
'1:08.624';-0.75;0.245
'1:08.628';-0.69;0.325
'1:08.632';0.02;0.28
'1:08.636';0;0.215
'1:08.640';-0.65;0.23
'1:08.644';-0.745;0.28
'1:08.648';-0.085;0.25
'1:08.652';0.065;0.215
'1:08.656';-0.555;0.23
'1:08.660';-0.775;0.295
'1:08.664';-0.2;0.3
'1:08.668';0.1;0.23
